Distance from coast (meters),Elevation above sea level (meters)
1088000,294
1089000,294
1090000,294
1091000,294
1092000,294
1093000,300
1094000,294
1095000,294
1096000,295
1097000,295
1098000,296
1099000,297
1100000,298
1101000,298
1102000,298
1103000,298
1104000,298
1105000,298
1106000,298
1107000,298
1108000,298
1109000,298
1110000,298
1111000,298
1112000,298
1113000,298
1114000,298
1115000,298
1116000,298
1117000,298
1118000,298
1119000,298
1120000,298
1121000,298
1122000,298
1123000,298
1124000,298
1125000,298
1126000,302
1127000,298
1128000,298
1129000,298
1130000,298
1131000,298
1132000,298
1133000,298
1134000,298
1135000,298
1136000,298
1137000,298
1138000,298
1139000,298
1140000,298
1141000,298
1142000,298
1143000,298
1144000,298
1145000,298
1146000,298
1147000,298
1148000,298
1149000,299
1150000,299
1151000,299
1152000,299
1153000,299
1154000,299
1155000,299
1156000,299
1157000,299
1158000,299
1159000,299
1160000,299
1161000,299
1162000,299
1163000,299
1164000,299
1165000,299
1166000,299
1167000,299
1168000,299
1169000,300
1170000,300
1171000,300
1172000,300
1173000,300
1174000,300
1175000,300
1176000,300
1177000,300
1178000,300
1179000,300
1180000,300
1181000,300
1182000,300
1183000,300
1184000,300
1185000,300
1186000,300
1187000,300
1188000,301
1189000,301
1190000,301
1191000,301
1192000,301
1193000,301
1194000,301
1195000,301
1196000,301
1197000,301
1198000,301
1199000,301
1200000,301
1201000,301
1202000,301
1203000,301
1204000,301
1205000,301
1206000,301
1207000,301
1208000,302
1209000,302
1210000,302
1211000,303
1212000,303
1213000,303
1214000,303
1215000,303
1216000,303
1217000,303
1218000,304
1219000,304
1220000,304
1221000,304
1222000,305
1223000,305
1224000,305
1225000,305
1226000,305
1227000,305
1228000,305
1229000,305
1230000,305
1231000,305
1232000,305
1233000,305
1234000,305
1235000,305
1236000,305
1237000,305
1238000,305
1239000,305
1240000,305
1241000,305
1242000,305
1243000,305
1244000,305
1245000,306
1246000,306
1247000,306
1248000,306
1249000,306
1250000,306
1251000,306
1252000,306
1253000,306
1254000,306
1255000,307
1256000,307
1257000,307
1258000,307
1259000,307
1260000,307
1261000,307
1262000,307
1263000,307
1264000,307
1265000,307
1266000,307
1267000,307
1268000,307
1269000,307
1270000,307
1271000,307
1272000,307
1273000,307
1274000,307
1275000,307
1276000,307
1277000,307
1278000,310
1279000,307
1280000,307
1281000,308
1282000,308
1283000,308
1284000,308
1285000,308
1286000,308
1287000,308
1288000,308
1289000,308
1290000,308
1291000,308
1292000,308
1293000,308
1294000,308
1295000,308
1296000,308
1297000,308
1298000,308
1299000,308
1300000,308
1301000,308
1302000,308
1303000,308
1304000,308
1305000,308
1306000,308
1307000,308
1308000,308
1309000,308
1310000,308
1311000,308
1312000,308
1313000,308
1314000,308
1315000,308
1316000,308
1317000,308
1318000,308
1319000,308
1320000,308
1321000,308
1322000,308
1323000,317
1324000,308
1325000,308
1326000,308
1327000,308
1328000,308
1329000,308
1330000,309
